"MAP.MC,2/01/2012 17:36:00,"2,499"
"MAP.MC,3/01/2012 17:36:00,"2,519"
"MAP.MC,4/01/2012 17:36:00,"2,523"
"MAP.MC,5/01/2012 17:36:00,"2,469"
"MAP.MC,6/01/2012 17:36:00,"2,491"
"MAP.MC,9/01/2012 17:36:00,"2,46"
"MAP.MC,10/01/2012 17:36:00,"2,541"
"MAP.MC,11/01/2012 17:36:00,"2,565"
"MAP.MC,12/01/2012 17:36:00,"2,561"
"MAP.MC,13/01/2012 17:36:00,"2,539"
"MAP.MC,16/01/2012 17:36:00,"2,535"
"MAP.MC,17/01/2012 17:36:00,"2,489"
"MAP.MC,18/01/2012 17:36:00,"2,413"
"MAP.MC,19/01/2012 17:36:00,"2,473"
"MAP.MC,20/01/2012 17:36:00,"2,47"
"MAP.MC,23/01/2012 17:36:00,"2,532"
"MAP.MC,24/01/2012 17:36:00,"2,535"
"MAP.MC,25/01/2012 17:36:00,"2,545"
"MAP.MC,26/01/2012 17:36:00,"2,566"
"MAP.MC,27/01/2012 17:36:00,"2,57"
"MAP.MC,30/01/2012 17:36:00,"2,524"
"MAP.MC,31/01/2012 17:36:00,"2,54"
"MAP.MC,1/02/2012 17:36:00,"2,585"
"MAP.MC,2/02/2012 17:36:00,"2,59"
"MAP.MC,3/02/2012 17:36:00,"2,622"
"MAP.MC,6/02/2012 17:36:00,"2,598"
"MAP.MC,7/02/2012 17:36:00,"2,574"
"MAP.MC,8/02/2012 17:36:00,"2,565"
"MAP.MC,9/02/2012 17:36:00,"2,641"
"MAP.MC,10/02/2012 17:36:00,"2,574"
"MAP.MC,13/02/2012 17:36:00,"2,595"
"MAP.MC,14/02/2012 17:36:00,"2,58"
"MAP.MC,15/02/2012 17:36:00,"2,54"
"MAP.MC,16/02/2012 17:36:00,"2,51"
"MAP.MC,17/02/2012 17:36:00,"2,537"
"MAP.MC,20/02/2012 17:36:00,"2,57"
"MAP.MC,21/02/2012 17:36:00,"2,541"
"MAP.MC,22/02/2012 17:36:00,"2,525"
"MAP.MC,23/02/2012 17:36:00,"2,509"
"MAP.MC,24/02/2012 17:36:00,"2,541"
"MAP.MC,27/02/2012 17:36:00,"2,572"
"MAP.MC,28/02/2012 17:36:00,"2,606"
"MAP.MC,29/02/2012 17:36:00,"2,581"
"MAP.MC,1/03/2012 17:36:00,"2,588"
"MAP.MC,2/03/2012 17:36:00,"2,586"
"MAP.MC,5/03/2012 17:36:00,"2,559"
"MAP.MC,6/03/2012 17:36:00,"2,47"
"MAP.MC,7/03/2012 17:36:00,"2,455"
"MAP.MC,8/03/2012 17:36:00,"2,49"
"MAP.MC,9/03/2012 17:36:00,"2,484"
"MAP.MC,12/03/2012 17:36:00,"2,469"
"MAP.MC,13/03/2012 17:36:00,"2,496"
"MAP.MC,14/03/2012 17:36:00,"2,541"
"MAP.MC,15/03/2012 17:36:00,"2,558"
"MAP.MC,16/03/2012 17:36:00,"2,56"
"MAP.MC,19/03/2012 17:36:00,"2,583"
"MAP.MC,20/03/2012 17:36:00,"2,58"
"MAP.MC,21/03/2012 17:36:00,"2,587"
"MAP.MC,22/03/2012 17:36:00,"2,527"
"MAP.MC,23/03/2012 17:36:00,"2,521"
"MAP.MC,26/03/2012 17:36:00,"2,524"
"MAP.MC,27/03/2012 17:36:00,"2,477"
"MAP.MC,28/03/2012 17:36:00,"2,429"
"MAP.MC,29/03/2012 17:36:00,"2,374"
"MAP.MC,30/03/2012 17:36:00,"2,414"
"MAP.MC,2/04/2012 17:36:00,"2,442"
"MAP.MC,3/04/2012 17:36:00,"2,429"
"MAP.MC,4/04/2012 17:36:00,"2,366"
"MAP.MC,5/04/2012 17:36:00,"2,382"
"MAP.MC,10/04/2012 17:36:00,"2,308"
"MAP.MC,11/04/2012 17:36:00,"2,372"
"MAP.MC,12/04/2012 17:36:00,"2,363"
"MAP.MC,13/04/2012 17:36:00,"2,263"
"MAP.MC,16/04/2012 17:36:00,"2,215"
"MAP.MC,17/04/2012 17:36:00,"2,311"
"MAP.MC,18/04/2012 17:36:00,"2,224"
"MAP.MC,19/04/2012 17:36:00,"2,18"
"MAP.MC,20/04/2012 17:36:00,"2,201"
"MAP.MC,23/04/2012 17:36:00,"2,132"
"MAP.MC,24/04/2012 17:36:00,"2,147"
"MAP.MC,25/04/2012 17:36:00,"2,212"
"MAP.MC,26/04/2012 17:36:00,"2,164"
"MAP.MC,27/04/2012 17:36:00,"2,212"
"MAP.MC,30/04/2012 17:36:00,"2,183"
"MAP.MC,2/05/2012 17:36:00,"2,159"
"MAP.MC,3/05/2012 17:36:00,"2,147"
"MAP.MC,4/05/2012 17:36:00,"2,112"
"MAP.MC,7/05/2012 17:36:00,"2,134"
"MAP.MC,8/05/2012 17:36:00,"2,072"
"MAP.MC,9/05/2012 17:36:00,"1,942"
"MAP.MC,10/05/2012 17:36:00,"2,039"
"MAP.MC,11/05/2012 17:36:00,"2,002"
"MAP.MC,14/05/2012 17:36:00,"1,969"
"MAP.MC,15/05/2012 17:36:00,"1,935"
"MAP.MC,16/05/2012 17:36:00,"1,861"
"MAP.MC,17/05/2012 17:36:00,"1,811"
"MAP.MC,18/05/2012 17:36:00,"1,856"
"MAP.MC,21/05/2012 17:36:00,"1,835"
"MAP.MC,22/05/2012 17:36:00,"1,882"
"MAP.MC,23/05/2012 17:36:00,"1,816"
"MAP.MC,24/05/2012 17:36:00,"1,802"
"MAP.MC,25/05/2012 17:36:00,"1,793"
"MAP.MC,28/05/2012 17:36:00,"1,748"
"MAP.MC,29/05/2012 17:36:00,"1,71"
"MAP.MC,30/05/2012 17:36:00,"1,62"
"MAP.MC,31/05/2012 17:36:00,"1,566"
"MAP.MC,1/06/2012 17:36:00,"1,543"
"MAP.MC,4/06/2012 17:36:00,"1,581"
"MAP.MC,5/06/2012 17:36:00,"1,562"
"MAP.MC,6/06/2012 17:36:00,"1,583"
"MAP.MC,7/06/2012 17:36:00,"1,601"
"MAP.MC,8/06/2012 17:36:00,"1,606"
"MAP.MC,11/06/2012 17:36:00,"1,655"
"MAP.MC,12/06/2012 17:36:00,"1,615"
"MAP.MC,13/06/2012 17:36:00,"1,633"
"MAP.MC,14/06/2012 17:36:00,"1,617"
"MAP.MC,15/06/2012 17:36:00,"1,663"
"MAP.MC,18/06/2012 17:36:00,"1,647"
"MAP.MC,19/06/2012 17:36:00,"1,592"
"MAP.MC,20/06/2012 17:36:00,"1,635"
"MAP.MC,21/06/2012 17:36:00,"1,659"
