"SAN.MC,2/01/2012 17:36:00,"5,966"
"SAN.MC,3/01/2012 17:36:00,"6,022"
"SAN.MC,4/01/2012 17:36:00,"5,79"
"SAN.MC,5/01/2012 17:36:00,"5,529"
"SAN.MC,6/01/2012 17:36:00,"5,45"
"SAN.MC,9/01/2012 17:36:00,"5,445"
"SAN.MC,10/01/2012 17:36:00,"5,74"
"SAN.MC,11/01/2012 17:36:00,"5,721"
"SAN.MC,12/01/2012 17:36:00,"5,681"
"SAN.MC,13/01/2012 17:36:00,"5,75"
"SAN.MC,16/01/2012 17:36:00,"5,66"
"SAN.MC,17/01/2012 17:36:00,"5,72"
"SAN.MC,18/01/2012 17:36:00,"5,61"
"SAN.MC,19/01/2012 17:36:00,"5,892"
"SAN.MC,20/01/2012 17:36:00,"5,912"
"SAN.MC,23/01/2012 17:36:00,"5,98"
"SAN.MC,24/01/2012 17:36:00,"5,98"
"SAN.MC,25/01/2012 17:36:00,"6,019"
"SAN.MC,26/01/2012 17:36:00,"6,158"
"SAN.MC,27/01/2012 17:36:00,"6,15"
"SAN.MC,30/01/2012 17:36:00,"5,984"
"SAN.MC,31/01/2012 17:36:00,"5,95"
"SAN.MC,1/02/2012 17:36:00,"6,163"
"SAN.MC,2/02/2012 17:36:00,"6,305"
"SAN.MC,3/02/2012 17:36:00,"6,426"
"SAN.MC,6/02/2012 17:36:00,"6,5"
"SAN.MC,7/02/2012 17:36:00,"6,544"
"SAN.MC,8/02/2012 17:36:00,"6,522"
"SAN.MC,9/02/2012 17:36:00,"6,595"
"SAN.MC,10/02/2012 17:36:00,"6,464"
"SAN.MC,13/02/2012 17:36:00,"6,48"
"SAN.MC,14/02/2012 17:36:00,"6,422"
"SAN.MC,15/02/2012 17:36:00,"6,45"
"SAN.MC,16/02/2012 17:36:00,"6,285"
"SAN.MC,17/02/2012 17:36:00,"6,413"
"SAN.MC,20/02/2012 17:36:00,"6,565"
"SAN.MC,21/02/2012 17:36:00,"6,546"
"SAN.MC,22/02/2012 17:36:00,"6,372"
"SAN.MC,23/02/2012 17:36:00,"6,289"
"SAN.MC,24/02/2012 17:36:00,"6,283"
"SAN.MC,27/02/2012 17:36:00,"6,27"
"SAN.MC,28/02/2012 17:36:00,"6,269"
"SAN.MC,29/02/2012 17:36:00,"6,227"
"SAN.MC,1/03/2012 17:36:00,"6,335"
"SAN.MC,2/03/2012 17:36:00,"6,36"
"SAN.MC,5/03/2012 17:36:00,"6,23"
"SAN.MC,6/03/2012 17:36:00,"5,951"
